codigo,name,codigo_ana,alerta,inundacao,lat,lng,image
hybas_6120714080,Ponte Nova,56110005,280,330,-20.41458333333389,-42.90625000000216,imagens/hybas_6120714080.png
hybas_6120702120,Nova Era,56661000,350,470,-19.768750000000523,-43.0104166666689,imagens/hybas_6120702120.png
hybas_6120697890,Mario de Carvalho,56696000,540,620,-19.53541666666717,-42.67291666666887,imagens/hybas_6120697890.png
hybas_6121241700,Belo Oriente,56719998,860,900,-19.32708333333386,-42.36875000000214,imagens/hybas_6121241700.png
hybas_6121240820,Naque Velho,56825000,640,740,-19.21458333333385,-42.38958333333545,imagens/hybas_6121240820.png
hybas_6120679490,Vila Matias,56891900,660,700,-18.56875000000059,-41.902083333335554,imagens/hybas_6120679490.png
hybas_6120685700,Governador Valadares,56850000,320,360,-18.897916666667243,-41.960416666668834,imagens/hybas_6120685700.png
hybas_6120686970,Tumiritinga,56920000,400,450,-18.97708333333389,-41.614583333335474,imagens/hybas_6120686970.png
hybas_6120697910,Colatina,56994500,530,580,-19.53541666666717,-40.64791666666889,imagens/hybas_6120697910.png
hybas_6120695400,Linhares,56998200,300,345,-19.41458333333384,-40.0729166666689,imagens/hybas_6120695400.png
hybas_6120692210,Jequitiba,41410000,1000,1180,-19.23125000000056,-44.022916666668834,imagens/hybas_6120692210.png
hybas_6121233680,Santo Hipólito,41818000,640,745,-18.364583333333883,-44.26041666666873,imagens/hybas_6121233680.png
hybas_6120708840,Rio Acima,41195050,540,640,-20.12708333333387,-43.793750000002206,imagens/hybas_6120708840.png
hybas_6120705740,Raposos,41200430,465,565,-19.97291666666723,-43.806250000002194,imagens/hybas_6120705740.png
